price,beds,bath,propertysqft,borough,property_category,type,sublocality_ext,postcode,state_ext,latitude,longitude,price_per_sqft
995000,5,2.0,2184.207862,Brooklyn,building,multi-family home,brooklyn,11221,new york,40.6862289,-73.9364224,455.542724349007
769000,4,2.0,1728.0,The Bronx,building,house,the bronx,10465,new york,40.8152029,-73.8154969,445.02314814814815
395995,2,1.0,1100.0,North Riverdale,,co-op,the bronx,10471,new york,40.9048823,-73.9051113,359.99545454545455
975000,1,2.0,900.0,Manhattan,building.residential,for sale,manhattan,10022,new york,40.7585686,-73.9669708,1083.3333333333333
499999,2,1.0,1744.0,The Bronx,building,house,the bronx,10464,new york,40.8549429,-73.7908303,286.6966743119266
365000,2,1.0,2184.207862,Jamaica,building.residential,co-op,queens,11415,new york,40.7083799,-73.8290102,167.10863757526388
748999,3,2.0,1620.0,Staten Island,building.residential,pending,staten island,10305,new york,40.606691,-74.0724094,462.3450617283951
635000,3,2.0,2184.207862,Queens,building,house,queens,11412,new york,40.6933533,-73.7503369,290.72324619258234
149000,3,1.0,400.0,Manhattan,building.residential,co-op,manhattan,10009,new york,40.7276196,-73.9848906,372.5
1099000,5,2.0,1760.0,Queens,building,house,queens,11414,new york,40.6481943,-73.8452374,624.4318181818181
3950000,3,2.3738608579684373,2184.207862,Staten Island,building.residential,land,staten island,10312,new york,40.525422,-74.166603,1808.4359408829926
1529999,6,5.0,2400.0,Queens,building,multi-family home,queens,11420,new york,40.6780476,-73.8056181,637.4995833333334
675000,3,1.0,1404.0,Staten Island,building,house,staten island,10301,new york,40.6333513,-74.1021333,480.7692307692308
2650000,6,6.0,2184.207862,Queens,,house,queens,11414,new york,40.660323,-73.8455929,1213.2544919847926
420000,3,1.0,2184.207862,Queens,building,house,queens,11417,new york,40.6784764,-73.8476859,192.28939118249542
2999950,3,2.3738608579684373,2184.207862,Brooklyn,building,land,brooklyn,11236,new york,40.6444117,-73.9100389,1373.4727597093504
559900,3,2.0,980.0,Staten Island,building.residential,townhouse,staten island,10309,new york,40.5132339,-74.1959753,571.3265306122449
549000,3,1.0,2184.207862,Queens,building,house,queens,11420,new york,40.6776809,-73.8166457,251.34970418854758
999000,3,2.0,950.0,Queens,building.residential,land,queens,11354,new york,40.7644631,-73.8297531,1051.578947368421
289000,3,2.3738608579684373,2184.207862,The Bronx,building,land,the bronx,10460,new york,40.842629,-73.8665973,132.31341440890756
790000,3,2.3738608579684373,2184.207862,Queens,building,land,queens,11356,new york,40.7827104,-73.8457691,361.6871881765985
2295000,7,4.0,3632.0,New York,building,house,manhattan,10030,new york,40.8180374,-73.9436858,631.8832599118942
1150000,3,4.0,3000.0,Staten Island,building.residential,house,staten island,10312,new york,40.5343966,-74.1582874,383.3333333333333
