LATITUDE,LONGITUDE,STATE,LOCALITY,SUBLOCALITY,POSTCODE,PROPERTY_CATEGORY
40.5805262,-74.0061062,New York,New York,Brooklyn,11224,building
40.7577991,-73.7159564,New York,New York,Queens,11005,building
40.57372,-73.8577786,New York,New York,Queens,11694,building
40.7336687,-74.000518,New York,New York,Manhattan,10014,building
40.657686,-73.8489131,New York,New York,Queens,11414,
40.7086444,-74.0161953,New York,New York,Manhattan,10280,building
40.6948972,-73.9925741,New York,New York,Brooklyn,11201,building.residential
40.5861193,-74.1075476,New York,New York,Staten Island,10304,building
40.7780417,-73.7739629,New York,New York,Queens,11360,building
40.8229141,-73.9460622,New York,New York,Manhattan,10031,building
40.7887084,-73.9700091,New York,New York,Manhattan,10025,building
40.6291962,-74.1518654,New York,New York,Staten Island,10303,building
40.610206,-73.91065,New York,New York,Brooklyn,11234,building.residential
40.5273247,-74.1983282,New York,New York,Staten Island,10309,building.residential
40.760703,-73.880887,New York,New York,Queens,11369,building
40.6674938,-73.9832146,New York,New York,Brooklyn,11215,
40.765022,-73.7422005,New York,New York,Queens,11362,building
40.8159966,-73.8881001,New York,New York,The Bronx,10474,building
40.7679673,-73.8246067,New York,New York,Queens County,11354,building
40.515251,-74.235145,New York,New York,Staten Island,10307,building.residential
40.6296431,-74.1005274,New York,New York,Staten Island,10301,building
40.6164182,-74.0142443,New York,New York,Brooklyn,11228,building
40.551184,-74.1840649,New York,New York,Staten Island,10312,building.residential
40.677393,-73.800094,New York,New York,Queens,11436,building.residential
40.7668312,-73.7911175,New York,New York,Queens,11358,building
40.7164224,-74.0101197,New York,New York,Manhattan,10013,building
40.7600248,-73.9653546,New York,New York,Manhattan,10022,building
40.5788586,-74.11209,New York,New York,Staten Island,10306,building
40.7127599,-73.83433,New York,New York,Queens,11375,building.residential
40.8679701,-73.836565,New York,New York,The Bronx,10469,building
40.6090909,-73.9762651,New York,New York,Brooklyn,11204,building
40.8130775,-73.8063357,New York,New York,The Bronx,10465,
40.7120703,-73.9983258,New York,New York,Manhattan,10038,building
40.7697773,-73.9014478,New York,New York,Queens,11105,building
40.7758194,-73.9785263,New York,New York,Manhattan,10023,building
40.686947,-73.9261885,New York,New York,Brooklyn,11221,building.residential
40.7107701,-73.8406935,New York,New York,Queens,11375,
40.6965326,-73.9839654,New York,New York,Brooklyn,11201,building
40.673976,-73.973535,New York,New York,Brooklyn,11215,building.residential
40.6137764,-74.1600305,New York,New York,Staten Island,10314,building.residential
40.5803331,-74.0885167,New York,New York,Staten Island,10305,building
40.5993523,-74.0953882,New York,New York,Staten Island,10304,building
40.6222734,-73.924094,New York,New York,Brooklyn,11234,building
40.7252187,-73.9929764,New York,New York,Manhattan,10012,
40.6738566,-73.9506085,New York,New York,Brooklyn,11216,building
40.574103,-74.0931668,New York,New York,Staten Island,10306,building
40.737308,-74.0046666,New York,New York,Manhattan,10014,
40.5273093,-74.1753435,New York,New York,Staten Island,10312,building.residential
40.6898164,-73.9062474,New York,New York,Brooklyn,11207,building
40.8968048,-73.9087471,New York,New York,The Bronx,10471,building.garage
40.7651716,-73.9678719,New York,New York,Manhattan,10065,
40.8109146,-73.853921,New York,New York,The Bronx,10473,building
40.5866482,-73.9845156,New York,New York,Brooklyn,11214,building.residential
40.621814,-74.1406264,New York,New York,Staten Island,10314,building
40.7381853,-73.8581248,New York,New York,Queens,11368,building.residential
40.764989,-73.9655331,New York,New York,Manhattan,10065,building
40.784623,-73.9826586,New York,New York,Manhattan,10024,building
40.583514,-73.9738903,New York,New York,Brooklyn,11223,building
40.7651716,-73.9678719,New York,New York,Manhattan,10065,
40.8109146,-73.853921,New York,New York,The Bronx,10473,building
40.8968048,-73.9087471,New York,New York,The Bronx,10471,building.garage
40.7381853,-73.8581248,New York,New York,Queens,11368,building.residential
40.583514,-73.9738903,New York,New York,Brooklyn,11223,building
40.5939378,-74.1843153,New York,New York,Staten Island,10314,
40.7855174,-73.7797613,New York,New York,Queens,11360,building
40.7455051,-74.0016003,New York,New York,Manhattan,10011,building.residential
40.747472,-73.9796788,New York,New York,Manhattan,10016,building
40.6351164,-74.0311609,New York,New York,Brooklyn,11209,building.residential
40.7839299,-73.77643,New York,New York,Queens County,11360,
40.8451067,-73.8601577,New York,New York,The Bronx,10462,building
40.7531191,-73.8818757,New York,New York,Queens,11372,building
40.5387352,-74.1423893,New York,New York,Staten Island,10308,building.residential
40.521278,-74.2230351,New York,New York,Staten Island,10309,building.residential
40.5953144,-74.1628286,New York,New York,Staten Island,10314,building.residential
40.7186003,-73.8453488,New York,New York,Queens,11375,building
40.8808173,-73.8350832,New York,New York,The Bronx,10475,building
40.7075546,-73.9036964,New York,New York,Queens,11385,
40.7824499,-73.7765099,New York,New York,Queens,11360,building
40.5894827,-73.9395372,New York,New York,Brooklyn,11235,
40.7640501,-73.964336,New York,New York,Upper East Side,10065,
40.7708195,-73.9595235,New York,New York,Upper East Side,10021,
40.7699425,-73.9583558,New York,New York,Manhattan,10021,building.residential
40.7050355,-73.8241699,New York,New York,Queens,11415,building
40.7573479,-73.9614914,New York,New York,Manhattan,10022,building.residential
40.5905451,-73.9910402,New York,New York,Gravesend,11214,
40.7157399,-73.83672,New York,New York,Forest Hills,11375,
40.8796143,-73.856153,New York,New York,The Bronx,10469,building
40.6610456,-73.9019953,New York,New York,Brooklyn,11212,building
40.7917785,-73.9406204,New York,New York,Manhattan,10029,building
40.6123868,-74.1511288,New York,New York,Staten Island,10314,
40.6166867,-74.1576647,New York,New York,Staten Island,10314,building.residential
40.7047878,-73.8344551,New York,New York,Queens,11418,building
40.7123992,-73.8339305,New York,New York,Queens,11415,building.residential
40.6050685,-74.0969483,New York,New York,Staten Island,10301,building
40.840459,-73.8542045,New York,New York,The Bronx,10462,building
40.8189893,-73.953108,New York,New York,Manhattan,10031,building
40.8366623,-73.9239586,New York,New York,The Bronx,10452,building
40.8018548,-73.9672877,New York,New York,Manhattan,10025,building.residential
40.8028416,-73.9670229,New York,New York,Manhattan,10025,building.residential
40.7130136,-73.8230375,New York,New York,Briarwood,11435,
40.756144,-73.8213672,New York,New York,Queens,11355,building
40.7382884,-73.9851838,New York,New York,Manhattan,10010,building
40.7779975,-73.9445342,New York,New York,Manhattan,10128,building.residential
40.6779049,-73.733881,New York,New York,Queens,11422,building
40.5882505,-74.1087291,New York,New York,Staten Island,10304,building
40.6683947,-73.9762195,New York,New York,Brooklyn,11215,
40.7562792,-73.8758052,New York,New York,Queens,11372,building.residential
40.6914843,-73.9676428,New York,New York,Brooklyn,11205,building
40.8236857,-73.8611313,New York,New York,The Bronx,10473,
40.6196386,-73.9707307,New York,New York,Midwood,11230,
40.6498755,-73.9375091,New York,New York,Brooklyn,11203,building
40.8362269,-73.8612346,New York,New York,The Bronx,10462,building
40.743059,-73.880983,New York,New York,Queens,11373,building
40.774158,-73.7957477,New York,New York,Queens,11358,
40.6949321,-73.9928542,New York,New York,Brooklyn,11201,building
40.7032697,-73.9088462,New York,New York,Queens,11385,building.residential
40.8244358,-73.8633737,New York,New York,The Bronx,10473,building
40.7598542,-73.9874427,New York,New York,Manhattan,10036,building.residential
40.6820924,-73.9393924,New York,New York,Brooklyn,11216,building
40.6662599,-73.9870141,New York,New York,Brooklyn,11215,building
40.778004,-73.962547,New York,New York,Manhattan,10035,building.residential
40.777244,-73.9868738,New York,New York,Manhattan,10023,building.residential
40.7598542,-73.9874427,New York,New York,Manhattan,10036,building.residential
40.6820924,-73.9393924,New York,New York,Brooklyn,11216,building
40.6662599,-73.9870141,New York,New York,Brooklyn,11215,building
40.6339124,-74.0058434,New York,New York,Brooklyn,11219,building
40.6083914,-74.0100209,New York,New York,Bath Beach,11228,
40.8728082,-73.8469489,New York,New York,The Bronx,10469,building
40.6597134,-73.9195979,New York,New York,Brooklyn,11212,building
40.7282899,-73.8472,New York,New York,Forest Hills,11375,
40.751918,-73.9698335,New York,New York,Manhattan,10017,
40.7712538,-73.950858,New York,New York,Upper East Side,10075,
40.7645034,-73.9648503,New York,New York,Manhattan,10035,commercial.supermarket
40.8539526,-73.9345678,New York,New York,Manhattan,10033,building.residential
40.5902653,-73.9455056,New York,New York,Brooklyn,11235,building
40.6360957,-73.9018295,New York,New York,Brooklyn,11236,building
40.6402659,-74.110402,New York,New York,Staten Island,10310,building
40.5813374,-73.9589282,New York,New York,Brighton Beach,11235,
40.5967151,-73.7696424,New York,New York,Queens,11691,building
40.6468871,-73.8907758,New York,New York,Brooklyn,11236,building
40.7701914,-73.9590118,New York,New York,Manhattan,10021,building.residential
40.7604194,-73.9968086,New York,New York,Manhattan,10036,building
40.7078844,-74.0140879,New York,New York,Manhattan,10006,building.residential
40.6662035,-73.8525027,New York,New York,Queens,11414,building
40.7989043,-73.9604812,New York,New York,Manhattan,10025,building
40.638069,-74.1627747,New York,New York,Staten Island,10303,building
40.700194,-73.8907488,New York,New York,Queens,11385,building
40.7573949,-73.9606545,New York,New York,Manhattan,10022,building
40.5184841,-74.2244185,New York,New York,Staten Island,10309,building.commercial
40.6828535,-73.8769965,New York,New York,Brooklyn,11208,building
40.6336127,-73.9276041,New York,New York,Brooklyn,11234,building
40.5813757,-74.1131912,New York,New York,Staten Island,10304,building
40.5065922,-74.2393503,New York,New York,Staten Island,10307,building.residential
40.6939582,-73.9943695,New York,New York,Brooklyn,11201,building.residential
40.8434062,-73.9407947,New York,New York,Manhattan,10032,building
40.7464683,-73.9872992,New York,New York,Manhattan,10001,building
40.5768936,-74.0048793,New York,New York,Brooklyn,11224,building
40.611142,-74.0905357,New York,New York,Staten Island,10301,building
40.6491203,-73.9440658,New York,New York,Brooklyn,11203,building
40.6471477,-73.9489423,New York,New York,Brooklyn,11226,building
40.856444,-73.9377616,New York,New York,Manhattan,10033,building.residential
40.8434062,-73.9407947,New York,New York,Manhattan,10032,building
40.6372545,-73.9002674,New York,New York,Brooklyn,11236,building
40.6453011,-73.9723049,New York,New York,Brooklyn,11218,building
40.5487767,-74.1629254,New York,New York,Staten Island,10312,building.residential
40.807426,-73.9535703,New York,New York,Central Harlem,10027,
40.7190856,-73.9060914,New York,New York,Queens,11378,building
40.634316,-73.9462919,New York,New York,Brooklyn,11210,building
40.8920958,-73.8487361,New York,New York,The Bronx,10466,building
40.7449256,-74.0057175,New York,New York,Manhattan,10011,building
40.8979269,-73.8463057,New York,New York,The Bronx,10466,building
40.7295412,-73.9913066,New York,New York,Manhattan,10003,
40.7687538,-73.9631311,New York,New York,Manhattan,10021,building
40.7174584,-74.0038831,New York,New York,Tribeca,10013,
40.7895034,-73.9769713,New York,New York,Manhattan,10024,building
40.7804721,-73.9871434,New York,New York,Manhattan,10069,building.residential
40.7488879,-73.9723947,New York,New York,Manhattan,10017,building
40.8270095,-73.8766285,New York,New York,The Bronx,10472,building
40.8333931,-73.8727914,New York,New York,The Bronx,10472,building
40.8333931,-73.8727914,New York,New York,The Bronx,10472,building
40.7128326,-73.7435779,New York,New York,Queens,11429,building
40.6962962,-73.9720502,New York,New York,Brooklyn,11205,building
40.8767388,-73.911189,New York,New York,Manhattan,10463,building
40.7708932,-73.9586258,New York,New York,Manhattan,10021,building
40.6505528,-73.8316736,New York,New York,Queens,11414,building
40.7798567,-73.9873973,New York,New York,Manhattan,10069,building.residential
40.7299787,-73.7310756,New York,New York,Queens,11427,building
40.6153952,-74.1610855,New York,New York,Staten Island,10314,building.residential
40.6800067,-73.9982111,New York,New York,Brooklyn,11231,building
40.710456,-73.991235,New York,New York,Manhattan,10002,building.residential
40.7607942,-73.8258766,New York,New York,Queens,11354,building
40.5239722,-74.2213406,New York,New York,Prince's Bay,10309,
40.7294367,-73.7125595,New York,New York,Queens,11426,building
40.7945743,-73.9434214,New York,New York,Manhattan,10029,building
40.7019014,-73.8256776,New York,New York,Queens,11418,building
40.7138975,-73.8970229,New York,New York,Queens,11379,building
40.6165347,-74.1507186,New York,New York,Staten Island,10314,building
40.6886004,-73.7568067,New York,New York,Queens,11412,building.residential
40.7895034,-73.9769713,New York,New York,Manhattan,10024,building
40.5409077,-74.1964937,New York,New York,Staten Island,10312,building.residential
