price,beds,bath,propertysqft,borough,property_category,type,sublocality_ext,postcode,state_ext,latitude,longitude,price_per_sqft
2200000,6,3.0,2385.0,Brooklyn,Residential,townhouse,Brooklyn,11215,New York,40.6621056,-73.9857576,922.4318658280922
898888,5,2.0,1550.0,Queens,Residential,multi-family home,Queens,11426,New York,40.7282381,-73.7158123,579.9277419354838
1250000,5,4.0,3427.0,Staten Island,Residential,house,Staten Island,10309,New York,40.5395581,-74.2229079,364.7505106507149
1188000,3,2.0,2240.0,Brooklyn,Residential,multi-family home,Brooklyn,11214,New York,40.6085532,-73.998257,530.3571428571429
869999,5,3.0,2080.0,Staten Island,Residential,multi-family home,Staten Island,10314,New York,40.6005525,-74.1314512,418.26875
210000,3,2.3738608579684373,1840.0,Brooklyn,Residential,house,Brooklyn,11207,New York,40.664748,-73.884184,114.1304347826087
799000,6,2.0,2184.207862,Brooklyn,Residential,multi-family home,Brooklyn,11208,New York,40.6672674,-73.8686224,365.80767513050915
298000,3,2.0,1100.0,East Bronx,Residential,co-op,The Bronx,10460,New York,40.8363242,-73.8654755,270.90909090909093
1248888,4,4.0,3500.0,Staten Island,Residential,house,Staten Island,10306,New York,40.5646314,-74.1243252,356.82514285714285
1695000,2,2.0,1572.0,Crown Heights,Residential,pending,Brooklyn,11216,New York,40.6750114,-73.9554645,1078.2442748091603
550000,2,2.0,2184.207862,Flushing,Residential,condo,Queens,11379,New York,40.7135475,-73.895855,251.80753607231543
775000,3,1.0,2184.207862,Manhattan,Residential,co-op,Manhattan,10014,New York,40.7313539,-74.0050572,354.8197099200808
249900,2,2.0,800.0,Staten Island,Residential,foreclosure,Staten Island,10301,New York,40.6189484,-74.1071576,312.375
650000,4,1.0,1152.0,Staten Island,Residential,house,Staten Island,10308,New York,40.5663057,-74.1529549,564.2361111111111
325000,2,1.0,2184.207862,Flushing,Residential,co-op,Queens,11375,New York,40.7280894,-73.8494828,148.79536222455002
275000,2,1.0,900.0,New Dorp,Residential,contingent,Staten Island,10306,New York,40.5735927,-74.1200228,305.55555555555554
700000,3,2.0,1620.0,The Bronx,Residential,house,The Bronx,10463,New York,40.8844018,-73.9028342,432.0987654320988
930000,3,2.0,2184.207862,Queens,Residential,house,Queens,11377,New York,40.7555333,-73.9016851,425.783651904097
1150000,3,2.3738608579684373,1376.0,Brooklyn,Residential,house,Brooklyn,11204,New York,40.6149237,-73.9789281,835.7558139534884
568888,3,2.0,1100.0,Queens,Residential,co-op,Queens,11374,New York,40.7322223,-73.8588845,517.170909090909
1200000,4,3.0,2052.0,Staten Island,Residential,house,Staten Island,10304,New York,40.59194,-74.1087406,584.7953216374269
